method,line_item,unit,bull,base,bear,source,note
DCF,Enterprise Value,VND bn,185920.6979592317,140759.44067790452,106487.07897957061,Formula,
DCF,Equity Value,VND bn,203572.68620165836,158411.42892033118,124139.06722199726,Formula,
DCF,Target Price,VND/share,138633.4951608218,107878.56894952491,84539.00715315851,Formula,
DCF,Upside / Downside,%,0.7660317854881757,0.374249285981209,0.07693002742877075,Formula,
SOTP,DCF Target Price,VND/share,138633.4951608218,107878.56894952491,84539.00715315851,20_DCF,
SOTP,SOTP Target Price,VND/share,110240.25069833641,88476.23095131665,69671.27356876449,SOTP bridge below,
SOTP,SOTP equity value,VND bn,161879.37796829588,129920.57928615142,102306.93740376958,Formula,
SOTP,Upside / Downside,%,0.4043344038004639,0.12708574460276,-0.11246785262720393,SOTP bridge below,
