ticker,role,company,price_date,current_price_vnd,shares,market_cap_vnd_bn,cash_plus_sti_vnd_bn,debt_vnd_bn,net_debt_vnd_bn,ev_vnd_bn,revenue_2025a,ebitda_2025a,npatmi_2025a,revenue_ltm,ebitda_ltm,npatmi_ltm,equity_latest,p_e_2025a,ev_ebitda_2025a,ev_sales_2025a,p_e_ltm,ev_ebitda_ltm,ev_sales_ltm,p_b_latest,source_note
MWG,Target company,Thế giới di động,2026-06-26,78500.0,1468423529.0,115271.2470265,46384.806297956,28100.653169211,-18284.153128744998,96987.093897755,155928.145619367,8965.781458423002,7033.730770169,166255.13922793098,10169.999928797002,8202.224531333999,35933.342055104,16.388350761928635,10.817472447606828,0.6219986360545081,14.053656613049636,9.536587470677347,0.5833629826311023,3.2079188974332205,MWG cash/debt links to 04A_Q1_Historical_FS; other metrics use vnstock Finance source=VCI
FRT,Core Vietnam retail peer,Bán lẻ FPT,2026-06-26,124000.0,170301785.0,21117.42134,8649.161937768,12381.417771551,3732.2558337829996,24849.677173783,51082.868444768,1716.3106105109991,794.864943551,54529.932081151,1896.7749049599993,914.2540666140001,5513.87318669,26.567307454345002,14.478543115447195,0.48645814008371624,23.09797911887858,13.10101536497661,0.4557070993010208,3.829870696151587,vnstock Finance source=VCI; formula pulls from Raw_Peer_IS/BS/CF
DGW,ICT distribution proxy,Thế Giới Số,2026-06-26,39100.0,221168700.0,8647.69617,2604.248487113,2789.96153066,185.71304354699987,8833.409213546998,26631.545770247,768.9600329240001,547.331236542,29612.411543729002,839.302479363,641.6252746270001,3674.353250982,15.799749023343763,11.48747507716054,0.33168969198234677,13.477798509460552,10.524702870234858,0.2983009067161787,2.3535287924994237,vnstock Finance source=VCI; formula pulls from Raw_Peer_IS/BS/CF
PET,ICT distribution proxy,Dịch vụ Tổng hợp Dầu khí,2026-06-26,52900.0,106722131.0,5645.6007299,5521.381625166,7222.314338324,1700.9327131580003,7346.533443058001,21815.238024741,385.736903196,258.133908515,23927.603632486,503.54124348100004,294.29752885299996,2707.621222484,21.870821862877957,19.045451400135008,0.3367615533108638,19.183310005704968,14.589735276242978,0.30703172603059037,2.0850777365087523,vnstock Finance source=VCI; formula pulls from Raw_Peer_IS/BS/CF
MSN,Modern grocery / consumer proxy,Tập đoàn Masan,2026-06-26,71400.0,1460374611.0,104270.7472254,16208.23,65037.166,48828.936,153099.6832254,81621.329,11092.993,4108.306,86744.545,11954.655999999999,4960.599999999999,46262.607,25.380472444214238,13.801476592061311,1.8757313204909956,21.019785353666897,12.80669918276193,1.7649488302163554,2.2538882693186744,vnstock Finance source=VCI; formula pulls from Raw_Peer_IS/BS/CF
