section,metric,unit,period,value,method_source,source_sheet
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,5M2026A,3.519916007905139,Derived,07_Revenue_Drivers
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,2026E,3.238302434736648,Derived,07_Revenue_Drivers
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,2027E,3.367834532126114,Derived,07_Revenue_Drivers
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,2028E,3.4688695680898975,Derived,07_Revenue_Drivers
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,2029E,3.5729356551325946,Derived,07_Revenue_Drivers
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,2030E,3.662259046510909,Derived,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,2025A,2.825979176995538,,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,3M2026A,3.572828433814981,,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,5M2026A,3.6540994017946162,,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,2026E,3.3617503835393046,,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,2027E,3.563455406551663,,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,2028E,3.7416281768792463,,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,2029E,3.8912933039544164,,07_Revenue_Drivers
REVENUE / STORE / MONTH,DMX Rev/Store/Month,VND bn/store/month,2030E,4.008032103073049,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,2025A,1.8056518056518056,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,3M2026A,1.6178831666049154,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,5M2026A,1.6480875579322638,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,2026E,1.5119320039228505,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,2027E,1.587528604118993,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,2028E,1.6669050343249427,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,2029E,1.7335812356979405,,07_Revenue_Drivers
REVENUE / STORE / MONTH,BHX Rev/Store/Month,VND bn/store/month,2030E,1.8029244851258581,,07_Revenue_Drivers
REVENUE / STORE / MONTH,An Khang Rev/Store/Month,VND bn/store/month,2025A,0.5178907721280602,,07_Revenue_Drivers
REVENUE / STORE / MONTH,An Khang Rev/Store/Month,VND bn/store/month,5M2026A,0.5559732664995823,,07_Revenue_Drivers
REVENUE / STORE / MONTH,An Khang Rev/Store/Month,VND bn/store/month,2026E,0.5516975308641975,,07_Revenue_Drivers
REVENUE / STORE / MONTH,An Khang Rev/Store/Month,VND bn/store/month,2027E,0.5737654320987654,,07_Revenue_Drivers
REVENUE / STORE / MONTH,An Khang Rev/Store/Month,VND bn/store/month,2028E,0.596716049382716,,07_Revenue_Drivers
REVENUE / STORE / MONTH,An Khang Rev/Store/Month,VND bn/store/month,2029E,0.6146175308641976,,07_Revenue_Drivers
REVENUE / STORE / MONTH,An Khang Rev/Store/Month,VND bn/store/month,2030E,0.6330560567901236,,07_Revenue_Drivers
REVENUE / STORE / MONTH,AVAKids Rev/Store/Month,VND bn/store/month,2025A,1.6091954022988506,,07_Revenue_Drivers
REVENUE / STORE / MONTH,AVAKids Rev/Store/Month,VND bn/store/month,5M2026A,1.5730337078651684,,07_Revenue_Drivers
REVENUE / STORE / MONTH,AVAKids Rev/Store/Month,VND bn/store/month,2026E,1.5730337078651686,,07_Revenue_Drivers
REVENUE / STORE / MONTH,AVAKids Rev/Store/Month,VND bn/store/month,2027E,1.651685393258427,,07_Revenue_Drivers
REVENUE / STORE / MONTH,AVAKids Rev/Store/Month,VND bn/store/month,2028E,1.7177528089887641,,07_Revenue_Drivers
REVENUE / STORE / MONTH,AVAKids Rev/Store/Month,VND bn/store/month,2029E,1.7864629213483147,,07_Revenue_Drivers
REVENUE / STORE / MONTH,AVAKids Rev/Store/Month,VND bn/store/month,2030E,1.8400568089887643,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,DMX Investment / Core ICT+CE Revenue,VND bn,5M2026A,54500.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,DMX Investment / Core ICT+CE Revenue,VND bn,2026E,120250.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,DMX Investment / Core ICT+CE Revenue,VND bn,2027E,126592.95817489392,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,DMX Investment / Core ICT+CE Revenue,VND bn,2028E,132104.6264324758,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,DMX Investment / Core ICT+CE Revenue,VND bn,2029E,136967.55196942604,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,DMX Investment / Core ICT+CE Revenue,VND bn,2030E,140859.62987552915,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,Core ICT+CE SSSG,%,5M2026A,0.33,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,Core ICT+CE SSSG,%,2026E,0.15,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,2025A,789.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,3M2026A,280.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,5M2026A,532.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,2026E,1000.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,2027E,600.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,2028E,500.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,2029E,400.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Stores in Period,stores,2030E,300.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,BHX New Store Initial Rev/Month,VND bn/store/month,2026E,1.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue Revenue,IDR bn,5M2026A,1560.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue SSSG,%,5M2026A,0.19,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue SSSG,%,2026E,0.3,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,2025A,94.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,3M2026A,31.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,5M2026A,64.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,2026E,119.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,2027E,120.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,2028E,130.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,2029E,150.0,,07_Revenue_Drivers
SUPPLEMENTAL KPI / GUIDANCE,EraBlue New Stores in Period,stores,2030E,150.0,,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,2025A,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,3M2026A,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,5M2026A,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,2026E,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,2027E,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,2028E,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,2029E,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,Segment Revenue Check,VND bn,2030E,0.0,Check,07_Revenue_Drivers
MODEL CHECKS,2026 Scenario Target Check,VND bn,2026E,0.0,,07_Revenue_Drivers
MODEL CHECKS,2026 Core Mix Check,ppt,2026E,0.0,,07_Revenue_Drivers
MODEL CHECKS,2026 BHX Mix Check,ppt,2026E,0.0,,07_Revenue_Drivers
MODEL CHECKS,5M Annualized Run-rate vs 2026E,%,2026E,-0.026221486712397324,,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,2025A,0.030198272593624287,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,3M2026A,0.040000000000000036,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,5M2026A,0.030000000000000027,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,2026E,0.030000000000000027,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,2027E,0.02499999999999991,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,2028E,0.03125,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,2029E,0.0010517274063757132,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,TGDD / TopZone RPSM growth,%,2030E,0.03,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,2025A,0.018774680063993188,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,3M2026A,0.06000000000000005,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,5M2026A,0.050000000000000044,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,2026E,0.040000000000000036,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,2027E,0.030000000000000027,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,2028E,0.04500000000000004,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,2029E,0.026225319936006852,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,DMX RPSM growth,%,2030E,0.03,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,2025A,0.12786242369709222,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,3M2026A,0.050000000000000044,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,5M2026A,0.050000000000000044,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,2026E,0.040000000000000036,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,2027E,0.040000000000000036,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,2028E,0.04500000000000004,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,2029E,-0.08286242369709218,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,BHX RPSM growth,%,2030E,0.05,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,2025A,0.11989151107193052,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,3M2026A,0.040000000000000036,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,5M2026A,0.040000000000000036,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,2026E,0.030000000000000027,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,2027E,0.030000000000000027,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,2028E,0.03500000000000003,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,2029E,-0.08489151107193049,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,An Khang RPSM growth,%,2030E,0.05,CHECK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,2025A,0.009864066099846358,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,3M2026A,0.050000000000000044,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,5M2026A,0.040000000000000036,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,2026E,0.040000000000000036,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,2027E,0.030000000000000027,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,2028E,0.040000000000000036,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,2029E,0.030135933900153677,OK,07_Revenue_Drivers
RPSM GROWTH CHECK,AVAKids RPSM growth,%,2030E,0.05,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,2025A,10.5,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,3M2026A,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,5M2026A,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,2026E,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,2027E,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,2028E,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,2029E,-10.5,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,TGDD / TopZone net store additions,stores,2030E,50.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,2025A,4.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,3M2026A,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,5M2026A,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,2026E,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,2027E,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,2028E,0.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,2029E,-4.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,DMX net store additions,stores,2030E,50.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,2025A,113.25,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,3M2026A,600.0,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,5M2026A,500.0,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,2026E,400.0,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,2027E,300.0,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,2028E,450.0,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,2029E,336.75,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,BHX net store additions,stores,2030E,250.0,CHECK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,2025A,51.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,3M2026A,60.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,5M2026A,50.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,2026E,40.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,2027E,30.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,2028E,45.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,2029E,-6.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,An Khang net store additions,stores,2030E,75.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,2025A,20.75,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,3M2026A,10.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,5M2026A,10.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,2026E,10.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,2027E,10.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,2028E,10.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,2029E,-10.75,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,AVAKids net store additions,stores,2030E,30.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,2025A,45.25,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,3M2026A,120.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,5M2026A,130.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,2026E,150.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,2027E,150.0,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,2028E,137.5,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,2029E,92.25,OK,07_Revenue_Drivers
STORE EXPANSION CHECK,EraBlue net store additions,stores,2030E,100.0,OK,07_Revenue_Drivers
ASSUMPTION CHECK SUMMARY,Total CHECK flags,count,2025A,3.0,REVIEW,07_Revenue_Drivers
