section,metric,unit,period,value,method_source,source_sheet
REVENUE BY CHAIN,DMX Revenue,VND bn,2027E,85693.9756167544,2026E: core guidance split by 5M chain mix; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,DMX Revenue,VND bn,2028E,89978.67439759211,2026E: core guidance split by 5M chain mix; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,DMX Revenue,VND bn,2029E,93577.8213734958,2026E: core guidance split by 5M chain mix; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,DMX Revenue,VND bn,2030E,96385.15601470068,2026E: core guidance split by 5M chain mix; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,2025A,46900.0,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,3M2026A,13100.0,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,5M2026A,23114.428,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,2026E,55500.0,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,2027E,73515.27459954233,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,2028E,88192.61155606408,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,2029E,101081.65469107551,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,BHX Revenue,VND bn,2030E,112697.20371624714,2026E: company BHX revenue mix guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,An Khang Revenue,VND bn,2025A,2200.0,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,An Khang Revenue,VND bn,5M2026A,1109.1666666666667,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,An Khang Revenue,VND bn,2026E,2860.0,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,An Khang Revenue,VND bn,2027E,3525.2148148148144,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,An Khang Revenue,VND bn,2028E,4060.0560000000005,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,An Khang Revenue,VND bn,2029E,4513.751146666667,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,An Khang Revenue,VND bn,2030E,4915.0472249185195,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,AVAKids Revenue,VND bn,2025A,1400.0,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,AVAKids Revenue,VND bn,5M2026A,700.0,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,AVAKids Revenue,VND bn,2026E,1680.0,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,AVAKids Revenue,VND bn,2027E,1982.0224719101122,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,AVAKids Revenue,VND bn,2028E,2267.433707865169,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,AVAKids Revenue,VND bn,2029E,2572.5066067415733,2026E: growth guidance; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
