period,gross_margin,ebit_margin,npatmi_margin,roe,roic,inventory_days,receivable_days,payable_days,cash_conversion_cycle
2021A,0.2247280221797489,0.05258381999581806,0.03984177565413511,0.24039700366052213,0.19411079516782012,111.68036715009337,9.386729807471363,46.63595450556861,74.43114245199612
2022A,0.23134135863273664,0.04928379491143168,0.03073175564648283,0.18504565392505196,0.20214751934692038,97.64274447233971,8.431005753090242,37.24225202722244,68.83149819820753
2023A,0.19040119582702883,0.008852470634899395,0.0014175658850099353,0.00709079330416764,0.03380206569900668,90.56528694965716,12.589977892093955,31.775583949752384,71.37968089199873
2024A,0.20469684451725095,0.03890874325661937,0.02770460401053276,0.14459154628621984,0.18433207019796274,75.27546039279073,18.998026599609446,29.220488924090155,65.05299806831002
2025A,0.19882156153996097,0.055564570813085294,0.045108795093263356,0.2294941387897996,0.30512083263418766,72.32949517886831,22.24802721327809,32.567772400057535,62.00974999208887
LTM Mar-26,0.20156711172844763,0.06057556590005427,0.049335163828758966,0.2373690837347838,0.38473754993400977,75.43363185793815,13.506066569671935,34.379607630575514,54.56009079703457
Q1 2025A,0.19926439465823753,0.053693288972689095,0.04278231271360691,0.21400492642403504,0.29535042198129086,71.04137914491888,23.596527664551747,32.307128068419495,62.33077874105113
Q1 2026A,0.20899038924840482,0.07204009456895549,0.058422660557650496,0.31421815473481735,0.5114742022694567,68.11445890887614,12.0822139406866,31.04382373721927,49.152849112343475
