table_id,x_label,x_value,y_value,target_price
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.15,100000,82682.3539464969
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.05,102460,93045.70064814592
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.075,102460,90760.96579973129
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.1,102460,88476.23095131665
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.125,102460,86191.49610290202
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.15,102460,83906.76125448737
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.05,107600,95904.99327603562
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.075,107600,93545.0138847818
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.1,107600,91185.03449352797
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.125,107600,88825.05510227413
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.15,107600,86465.07571102027
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.05,115000,100021.48460801692
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.075,115000,97553.17649750043
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.1,115000,95084.86838698394
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.125,115000,92616.56027646743
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.15,115000,90148.25216595092
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.05,117800,101579.07592282064
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.075,117800,99069.77856717774
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.1,117800,96560.48121153482
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.125,117800,94051.18385589191
dmx_value_platform_discount,DMX 100% Equity Value \ Holding Discount,0.15,117800,91541.88650024898
