ticker,role,company,price_date,current_price_vnd,market_cap_vnd_bn,ev_vnd_bn,revenue_ltm,ebitda_ltm,npatmi_ltm,p_e_ltm,ev_ebitda_ltm,ev_sales_ltm
MWG,Target company,Thế giới di động,2026-06-26,78500.0,115271.2470265,96987.093897755,166255.13922793098,10169.999928797002,8202.224531333999,14.053656613049636,9.536587470677347,0.5833629826311023
FRT,Core Vietnam retail peer,Bán lẻ FPT,2026-06-26,124000.0,21117.42134,24849.677173783,54529.932081151,1896.7749049599993,914.2540666140001,23.09797911887858,13.10101536497661,0.4557070993010208
DGW,ICT distribution proxy,Thế Giới Số,2026-06-26,39100.0,8647.69617,8833.409213546998,29612.411543729002,839.302479363,641.6252746270001,13.477798509460552,10.524702870234858,0.2983009067161787
PET,ICT distribution proxy,Dịch vụ Tổng hợp Dầu khí,2026-06-26,52900.0,5645.6007299,7346.533443058001,23927.603632486,503.54124348100004,294.29752885299996,19.183310005704968,14.589735276242978,0.30703172603059037
MSN,Modern grocery / consumer proxy,Tập đoàn Masan,2026-06-26,71400.0,104270.7472254,153099.6832254,86744.545,11954.655999999999,4960.599999999999,21.019785353666897,12.80669918276193,1.7649488302163554
