period,revenue_vnd_bn,prior_revenue_vnd_bn,revenue_growth
2021A,122958.106103174,,
2022A,133404.777591,122958.106103174,0.08496122637949721
2023A,118279.788455,133404.777591,-0.11337666768105603
2024A,134341.152849,118279.788455,0.1357912844095981
2025A,155928.145619,134341.152849,0.16068786304271065
